Protein Accession No	Gene	Protein Description	Protein Mr	uninfected mouse 	Group 1	Group 2	Group 3	Group 1/Group2	Group 1/Group 3	Group 2/Group 3
SL1344_4025	ydeZ 	SL1344_4025 hypothetical ABC transporter, membrane component 4307508:4308509 forward MW:35264	35241	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4026	yneA 	SL1344_4026 hypothetical ABC transport protein, solute-binding component 4308538:4309560 forward MW:36760	36737	0.00000%	0.00000%	0.00000%	0.00000%	0	-8.7681843248	-8.7681843248
SL1344_4027	yneB 	SL1344_4027 hypothetical aldolase 4309589:4310464 forward MW:31742	31722	0.00000%	0.00000%	0.00000%	0.00436%	-5.3442959079	-5.2807707701	0.0635251378
SL1344_4028	yneC 	SL1344_4028 conserved hypothetical protein 4310544:4310837 forward MW:11365	11358	0.00000%	0.00008%	0.00325%	0.00311%	0	0	0
SL1344_4029	0	SL1344_4029 hypothetical ribulose-phosphate 3-epimerase 4310847:4311611 forward MW:27635	27617	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4030	tpiA 	SL1344_4030 triosephosphate isomerase 4311703:4312470 reverse MW:26916	26900	0.00000%	0.00000%	0.00000%	0.00000%	-4.3706874068	-2.4262647547	1.9444226521
SL1344_4031	yiiQ 	SL1344_4031 conserved hypothetical protein 4312583:4313179 reverse MW:21706	21692	0.00000%	0.00016%	0.00331%	0.00086%	0	0	0
SL1344_4033	fpr 	SL1344_4033 ferredoxin--NADP reductase 4313815:4314561 reverse MW:27789	27771	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4034	glpX 	SL1344_4034 hypothetical glycerol metabolic protein 4314658:4315668 reverse MW:35656	35633	0.00000%	0.00000%	0.00000%	0.00000%	0	-7.0443941194	-7.0443941194
SL1344_4035	glpK 	SL1344_4035 glycerol kinase 4315780:4317288 reverse MW:56052	56016	0.00000%	0.00000%	0.00000%	0.00132%	-4.3398500029	-5.804320862	-1.4644708591
SL1344_4036	glpF 	SL1344_4036 glycerol uptake facilitator protein 4317309:4318154 reverse MW:29685	29665	0.00000%	0.00204%	0.04131%	0.11400%	3	-2.3923174228	-5.3923174228
SL1344_4037	yiiU 	SL1344_4037 conserved hypothetical protein 4318553:4318792 forward MW:9312	9307	0.00000%	0.00008%	0.00000%	0.00042%	0	0	0
SL1344_4038	menG 	SL1344_4038 menaquinone biosynthesis protein 4319014:4319499 reverse MW:17374	17364	0.00000%	0.00000%	0.00000%	0.00000%	3	3	0
SL1344_4040	hslU 	SL1344_4040 heat shock protein 4320588:4321919 reverse MW:49668	49637	0.00000%	0.00008%	0.00000%	0.00000%	-6.5678293509	-5.8429788318	0.7248505191
SL1344_4041	hslV 	SL1344_4041 heat shock protein 4321929:4322459 reverse MW:18984	18973	0.00000%	0.00015%	0.01423%	0.00861%	-8.3663222142	-5.3575520046	3.0087702096
SL1344_4042	ftsN 	SL1344_4042 cell division protein 4322551:4323525 reverse MW:36303	36280	0.00000%	0.00000%	0.00330%	0.00041%	-8.3837042925	-6.3750394313	2.0086648611
SL1344_4043	cytR 	SL1344_4043 transcriptional repressor 4323619:4324644 reverse MW:37584	37559	0.00000%	0.00000%	0.00334%	0.00083%	0	-5.2479275134	-5.2479275134
SL1344_4044	priA 	SL1344_4044 primosomal protein replication factor 4324799:4326997 reverse MW:81772	81721	0.00000%	0.00000%	0.00000%	0.00038%	0	0	0
SL1344_4045	rpmE 	SL1344_4045 50S ribosomal protein L31 4327201:4327413 forward MW:7718	7714	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4048	metJ 	SL1344_4048 repressor of the methionine regulon 4330569:4330886 reverse MW:12123	12116	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4049	metB 	SL1344_4049 cystathionine gamma-synthase 4331151:4332311 forward MW:41661	41635	0.00000%	0.00000%	0.00000%	0.00000%	-8.413627929	-6.4093909361	2.0042369929
SL1344_4050	metL 	SL1344_4050 bifunctional aspartokinase II/homoserine dehydrogenase IIcan I write 4332314:4334746 forward MW:88854	88799	0.00000%	0.00000%	0.00341%	0.00085%	-9.3151495623	-7.7481928496	1.5669567127
SL1344_4055	metF 	SL1344_4055 5,10 methylenetetrahydrofolate reductase 4339966:4340856 forward MW:33173	33152	0.00000%	0.00000%	0.00637%	0.00215%	0	-5.3923174228	-5.3923174228
SL1344_4056	katG 	SL1344_4056 catalase (hydroperoxidase I) 4341021:4343201 forward MW:79656	79607	0.00000%	0.00000%	0.00000%	0.00042%	-8.3487281542	-8.5117526538	-0.1630244995
SL1344_4058	gldA 	SL1344_4058 glycerol dehydrogenase 4344141:4345244 reverse MW:38741	38717	0.00000%	0.00000%	0.00326%	0.00365%	0	-7.5156998383	-7.5156998383
SL1344_4059	talC 	SL1344_4059 hypothetical transaldolase 4345256:4345918 reverse MW:23525	23510	0.00000%	0.00000%	0.00000%	0.00183%	0	-5.3923174228	-5.3923174228
SL1344_4060	ptsA 	SL1344_4060 phosphoenolpyruvate-protein phosphotransferase (ec 2.7.3.9) (phosphotransferase system, enzyme i) (enzyme i-ani) 4345929:4348430 reverse MW:92084	92025	0.00000%	0.00000%	0.00000%	0.00042%	0	-7.3575520046	-7.3575520046
SL1344_4062	frwB 	SL1344_4062 PTS system protein IIB component 1 (phosphotransferase enzyme ii, b component) (ec 2.7.1.69) 4349833:4350153 forward MW:11263	11256	0.00000%	0.00000%	0.00000%	0.00164%	0	0	0
SL1344_4065	frwD 	SL1344_4065 PTS system, component IIB 4353395:4353748 forward MW:13153	13145	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4068	yijP 	SL1344_4068 hypothetical membrane protein 4354747:4356480 reverse MW:66207	66166	0.00000%	0.00000%	0.00000%	0.00000%	-9.4051414631	-6.3923174228	3.0128240404
SL1344_4069	ppc 	SL1344_4069 phosphoenolpyruvate carboxylase 4356691:4359342 reverse MW:99003	98940	0.00000%	0.00000%	0.00678%	0.00084%	-8.2479275134	-10.6110247973	-2.3630972839
SL1344_4070	argE 	SL1344_4070 acetylornithine deacetylase 4359711:4360862 reverse MW:42201	42174	0.00000%	0.00000%	0.00304%	0.01564%	0	0	0
SL1344_4071	argC 	SL1344_4071 N-acetyl-gamma-glutamyl-phosphate reductase 4360951:4361955 forward MW:35949	35927	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4072	argB 	SL1344_4072 acetylglutamate kinase 4361963:4362739 forward MW:27007	26990	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4073	argH 	SL1344_4073 argininosuccinate lyase 4362857:4364233 forward MW:50482	50450	0.00000%	0.00000%	0.00000%	0.00000%	0	-7.0112272554	-7.0112272554
SL1344_4074	oxyR 	SL1344_4074 hydrogen peroxide-inducible regulon activator 4364518:4365435 forward MW:34183	34161	0.00000%	0.00000%	0.00000%	0.00129%	0	-8.2526654325	-8.2526654325
SL1344_4075	udhA 	SL1344_4075 possible pyridine nucleotide-disulphide oxidoreductase 4365418:4366818 reverse MW:51609	51576	0.00000%	0.00000%	0.00000%	0.00305%	0	-6.4093909361	-6.4093909361
SL1344_4076	yijC 	SL1344_4076 possible TetR-family trancriptional regulatory protein 4367017:4367652 forward MW:24041	24026	0.00000%	0.00000%	0.00000%	0.00085%	0	0	0
SL1344_4078	trmA 	SL1344_4078 tRNA (uracil-5)-methyltransferase 4368074:4369174 reverse MW:41896	41869	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4079	btuB 	SL1344_4079 vitamin B12 receptor protein 4369506:4371392 forward MW:70046	70003	0.00000%	0.00000%	0.00000%	0.00000%	0	-9.6969675262	-9.6969675262
SL1344_4080	murI 	SL1344_4080 glutamate racemase 4371337:4372188 forward MW:31043	31023	0.00000%	0.00000%	0.00000%	0.00830%	0	0	0
SL1344_4081	murB 	SL1344_4081 UDP-N-acetylenolpyruvoylglucosamine reductase 4378003:4379031 forward MW:37647	37623	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4082	birA 	SL1344_4082 bifunctional protein: biotin operon repressor and biotin-[acetyl-CoA carboxylase] synthetase 4379028:4379990 forward MW:35395	35373	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4083	coaA 	SL1344_4083 pantothenate kinase 4380025:4380975 reverse MW:36235	36213	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4085	tuf 	SL1344_4085 elongation factor Tu 4381934:4383118 forward MW:43284	43256	0.00000%	0.00000%	0.00000%	0.00000%	-5.3079687357	-6.7634215174	-1.4554527817
SL1344_4086	secE 	SL1344_4086 preprotein translocase SecE subunit 4383348:4383731 forward MW:13689	13681	0.03767%	0.01389%	0.55025%	1.50902%	0	0	0
SL1344_4087	nusG 	SL1344_4087 transcription antitermination protein 4383733:4384278 forward MW:20545	20532	0.00000%	0.00000%	0.00000%	0.00000%	-7.1497471195	3	10.1497471195
SL1344_4088	rplK 	SL1344_4088 50S ribosomal subunit protein L11 4384436:4384864 forward MW:14875	14866	0.00000%	0.00008%	0.01136%	0.00000%	-6.7985787846	-6.7892567981	0.0093219864
SL1344_4089	rplA 	SL1344_4089 50S ribosomal subunit protein L1 4384868:4385572 forward MW:24728	24713	0.00000%	0.00106%	0.11800%	0.11724%	-7.0376123186	-5.6813778686	1.3562344499
SL1344_4090	rplJ 	SL1344_4090 50S ribosomal subunit protein L10 4385992:4386489 forward MW:17800	17789	0.00000%	0.00063%	0.08277%	0.03233%	-5.4209009053	-2.7514728378	2.6694280675
SL1344_4091	rplL 	SL1344_4091 50S ribosomal subunit protein L7/L12 4386556:4386921 forward MW:12299	12291	0.00000%	0.00094%	0.04027%	0.00633%	-3.0367708782	-6.5163852041	-3.479614326
SL1344_4092	rpoB 	SL1344_4092 DNA-directed RNA polymerase, beta-subunit 4387239:4391267 forward MW:150603	150507	0.00000%	0.00092%	0.00755%	0.08422%	-7.0431792182	-7.7634705937	-0.7202913755
SL1344_4093	rpoC 	SL1344_4093 DNA-directed RNA polymerase, beta~-subunit 4391344:4395567 forward MW:155236	155137	0.00000%	0.00090%	0.11870%	0.19556%	-6.3597248873	-7.2566460154	-0.8969211282
SL1344_4104	rsd 	SL1344_4104 hypothetical regulatory protein 4404081:4404569 reverse MW:18653	18641	0.00000%	0.00089%	0.07309%	0.13610%	0	0	0
SL1344_4105	nudC 	SL1344_4105 conserved hypothetical protein 4404662:4405435 forward MW:29621	29602	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4106	hemE 	SL1344_4106 uroporphyrinogen decarboxylase 4405476:4406540 forward MW:39132	39107	0.00000%	0.00000%	0.00000%	0.00000%	0	-5.3219280949	-5.3219280949
SL1344_4107	nfi 	SL1344_4107 hypothetical endonuclease 4406550:4407221 forward MW:24745	24730	0.00000%	0.00000%	0.00000%	0.00040%	0	0	0
SL1344_4108	yjaG 	SL1344_4108 conserved hypothetical protein 4407263:4407853 forward MW:22704	22689	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4109	hupA 	SL1344_4109 histone like DNA-binding protein HU-alpha (NS2) (HU-2) 4408040:4408312 forward MW:9521	9515	0.00000%	0.00000%	0.00000%	0.00000%	-3.3382709448	-8.3611664596	-5.0228955148
SL1344_4110	yjaH 	SL1344_4110 conserved hypothetical protein 4408324:4409016 forward MW:26060	26044	0.04143%	0.00079%	0.00799%	0.25977%	0	0	0
SL1344_4111	zraP 	SL1344_4111 possible exported protein 4409058:4409513 reverse MW:16129	16119	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4112	hydH 	SL1344_4112 two-component system sensor protein 4409767:4411164 forward MW:51254	51222	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4113	hydG 	SL1344_4113 transcriptional regulatory protein 4411170:4412495 forward MW:48590	48560	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4114	purD 	SL1344_4114 phosphoribosylglycineamide synthetase 4412492:4413781 reverse MW:45723	45694	0.00000%	0.00000%	0.00000%	0.00000%	-8.3575520046	-8.4262647547	-0.0687127501
SL1344_4115	purH 	SL1344_4115 phosphoribosylaminoimidazolecarboxamide formyltransferase and IMP cyclohydrolase (bifunctional enzyme) 4413793:4415382 reverse MW:57467	57431	0.00000%	0.00000%	0.00328%	0.00344%	-8.1996723448	-10.7797193551	-2.5800470103
SL1344_4116	yjaB 	SL1344_4116 hypothetical acetyltransferase 4421536:4421973 reverse MW:16325	16315	0.00000%	0.00000%	0.00294%	0.01758%	0	0	0
SL1344_4118	aceB 	SL1344_4118 malate synthase A 4423328:4424929 forward MW:60383	60345	0.00000%	0.00000%	0.00000%	0.00000%	0	-7.4008794363	-7.4008794363
SL1344_4119	aceA 	SL1344_4119 isocitrate lyase 4424961:4426265 forward MW:47563	47533	0.00000%	0.00000%	0.00000%	0.00169%	-6.413627929	-6.0901124197	0.3235155094
SL1344_4122	iclR 	SL1344_4122 acetate operon repressor 4428500:4429324 reverse MW:29614	29595	0.00000%	0.00008%	0.00682%	0.00545%	0	0	0
SL1344_4123	metH 	SL1344_4123 B12-dependent homocysteine-N5-methyltetrahydrofolate transmethylase 4429628:4433311 forward MW:136005	135919	0.00000%	0.00000%	0.00000%	0.00000%	-8.1189410727	-8.6402449362	-0.5213038635
SL1344_4124	yjbB 	SL1344_4124 hypothetical membrane protein 4433653:4435209 forward MW:56749	56712	0.00000%	0.00000%	0.00278%	0.00399%	0	0	0
SL1344_4125	pepE 	SL1344_4125 peptidase E (pseudogene) 4435285:4435974 reverse MW:24769	24754	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4127	0	SL1344_4127 conserved hypothetical protein 4436182:4436721 forward MW:20158	20146	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4128	yjbC 	SL1344_4128 hypothetical pseudouridine synthase 4436768:4437637 forward MW:32350	32330	0.00000%	0.00000%	0.00000%	0.00000%	0	-6.4429434958	-6.4429434958
SL1344_4129	yjbD 	SL1344_4129 conserved hypothetical protein 4437634:4437906 reverse MW:10500	10494	0.00000%	0.00000%	0.00000%	0.00087%	0	0	0
SL1344_4156	lysC 	SL1344_4156 lysine-sensitive aspartokinase III 4459759:4461108 reverse MW:48625	48594	0.00000%	0.00000%	0.00000%	0.00000%	0	-7.022367813	-7.022367813
SL1344_4157	pgi 	SL1344_4157 glucose-6-phosphate isomerase 4461453:4463102 forward MW:61429	61390	0.00000%	0.00000%	0.00000%	0.00130%	2.8073549221	-7.9025904582	-10.7099453802
SL1344_4166	malE 	SL1344_4166 periplasmic maltose-binding protein 4470620:4471819 reverse MW:43484	43456	0.00000%	0.00007%	0.00000%	0.01675%	0	-8.7004397181	-8.7004397181
SL1344_4167	malK 	SL1344_4167 maltose/maltodextrin transport ATP-binding protein 4472172:4473281 forward MW:40799	40774	0.00000%	0.00000%	0.00000%	0.00416%	0	-7.8703647196	-7.8703647196
SL1344_4168	lamB 	SL1344_4168 maltoporin precursor 4473370:4474728 forward MW:50549	50517	0.00000%	0.00000%	0.00000%	0.00234%	0	-10.5574637016	-10.5574637016
SL1344_4169	malM 	SL1344_4169 maltose operon periplasmic protein 4474892:4475809 forward MW:31823	31804	0.00000%	0.00000%	0.00000%	0.01507%	0	-7.5468944599	-7.5468944599
SL1344_4170	ubiC 	SL1344_4170 chorismate lyase 4475990:4476487 forward MW:18719	18708	0.00000%	0.00000%	0.00000%	0.00187%	0	0	0
SL1344_4171	ubiA 	SL1344_4171 4-hydroxybenzoate octaprenyl transferase 4476501:4477373 forward MW:32602	32580	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4172	plsB 	SL1344_4172 glycerol-3-phosphate acyltransferase 4477472:4479892 reverse MW:91129	91070	0.00000%	0.00000%	0.00000%	0.00000%	0	-8.2946207489	-8.2946207489
SL1344_4173	dgkA 	SL1344_4173 diacylglycerol kinase 4480063:4480431 forward MW:13434	13426	0.00000%	0.00000%	0.00000%	0.00314%	0	0	0
SL1344_4174	lexA 	SL1344_4174 LexA repressor 4480540:4481148 forward MW:22304	22291	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4176	yjbJ 	SL1344_4176 conserved hypothetical protein 4482781:4482993 forward MW:8459	8454	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4177	zur 	SL1344_4177 zinc uptake regulation protein 4483092:4483607 reverse MW:19165	19153	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4178	0	SL1344_4178 hypothetical exported protein 4483854:4485164 forward MW:46977	46949	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4179	yjbN 	SL1344_4179 conserved hypothetical protein 4485252:4486250 forward MW:36986	36962	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4181	qor 	SL1344_4181 quinone oxidoreductase 4486835:4487818 reverse MW:35151	35129	0.00000%	0.00000%	0.00000%	0.00000%	-5.3398500029	-3.4093909361	1.9304590667
SL1344_4182	dnaB 	SL1344_4182 replicative DNA helicase 4487883:4489298 forward MW:52688	52655	0.00000%	0.00008%	0.00324%	0.00085%	0	-6.3398500029	-6.3398500029
SL1344_4183	alr 	SL1344_4183 alanine racemase 4489330:4490409 forward MW:39076	39051	0.00000%	0.00000%	0.00000%	0.00081%	0	0	0
SL1344_4184	tyrB 	SL1344_4184 aromatic-amino-acid aminotransferase 4490595:4491788 forward MW:43527	43499	0.00000%	0.00000%	0.00000%	0.00000%	0	-7.8641861447	-7.8641861447
SL1344_4185	aphA 	SL1344_4185 class B acid phosphatase precursor 4491975:4492688 forward MW:26314	26298	0.00000%	0.00000%	0.00000%	0.00233%	0	0	0
SL1344_4186	yjbQ 	SL1344_4186 conserved hypothetical protein 4492817:4493233 forward MW:15483	15474	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4187	yjbR 	SL1344_4187 conserved hypothetical protein 4493236:4493592 forward MW:13328	13320	0.00000%	0.00000%	0.00000%	0.00000%	0	-5.3575520046	-5.3575520046
SL1344_4190	uvrA 	SL1344_4190 excision nuclease subunit A 4494505:4497330 reverse MW:103929	103864	0.00000%	0.00000%	0.00000%	0.00041%	-8.3174126138	-7.7279204546	0.5894921592
SL1344_4192	ssb 	SL1344_4192 single-strand DNA-binding protein 4497578:4498108 forward MW:19074	19062	0.00000%	0.00000%	0.00319%	0.00212%	-5.4573808791	-2.4594316186	2.9979492604
SL1344_4193	siiA 	SL1344_4193 type I secretion-related protein 4499149:4499781 forward MW:23522	23508	0.00000%	0.00016%	0.00703%	0.00088%	0	0	0
SL1344_4194	siiB 	SL1344_4194 hypothetical integral membrane protein 4499778:4501166 forward MW:51456	51423	0.00000%	0.00000%	0.00000%	0.00000%	0	-5.2854022189	-5.2854022189
SL1344_4195	siiC 	SL1344_4195 hypothetical type-I secretion protein 4501156:4502475 forward MW:50511	50479	0.00000%	0.00000%	0.00000%	0.00039%	0	-8.413627929	-8.413627929
SL1344_4196	siiD 	SL1344_4196 hypothetical type-I secretion protein 4502472:4503749 forward MW:47872	47843	0.00000%	0.00000%	0.00000%	0.00341%	0	0	0
SL1344_4197	siiE 	SL1344_4197 large repetitive protein 4503766:4520445 forward MW:594909	594548	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4198	siiF 	SL1344_4198 hypothetical type-1 secretion protein 4520485:4522551 forward MW:77495	77445	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4202	soxR 	SL1344_4202 SoxR protein 4525672:4526130 forward MW:16875	16865	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4204	yjcD 	SL1344_4204 hypothetical xanthine/uracil permeases family protein 4527438:4528787 forward MW:45727	45697	0.00000%	0.00000%	0.00000%	0.00000%	0	-5.3575520046	-5.3575520046
SL1344_4210	yjcH 	SL1344_4210 hypothetical membrane protein 4534446:4534760 reverse MW:11700	11693	0.00000%	0.00000%	0.00000%	0.00041%	0	0	0
SL1344_4211	acs 	SL1344_4211 acetyl-coenzyme A synthetase 4535006:4536964 reverse MW:72153	72107	0.00000%	0.00000%	0.00000%	0.00000%	-6.94349161	-5.2159373992	1.7275542108
SL1344_4213	nrfA 	SL1344_4213 cytochrome c552, subunit of nitrite reductase complex 4537396:4538832 forward MW:53817	53782	0.00000%	0.00024%	0.02954%	0.00892%	0	-8.8423503434	-8.8423503434
SL1344_4215	nrfC 	SL1344_4215 4Fe-4S subunit, subunit of nitrite reductase complex 4539507:4540178 forward MW:24532	24516	0.00000%	0.00000%	0.00000%	0.00459%	0	0	0
SL1344_4220	yjcO 	SL1344_4220 hypothetical exported protein 4545776:4546387 reverse MW:22064	22051	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4221	SC4B5.11c 	SL1344_4221 hypothetical formate dehydrogenase H 4546642:4548789 reverse MW:79062	79011	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4223	lpxO 	SL1344_4223 hypothetical membrane-bound beta-hydroxylase 4549144:4550052 reverse MW:34854	34832	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4226	phnA 	SL1344_4226 conserved hypothetical protein 4551459:4551794 reverse MW:12289	12281	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4227	proP 	SL1344_4227 hypothetical amino acid permease 4552262:4553764 forward MW:54787	54751	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4228	basS 	SL1344_4228 two-component sensor kinase 4553931:4555001 reverse MW:40263	40237	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4229	basR 	SL1344_4229 two-component response regulator 4555011:4555679 reverse MW:25053	25038	0.00000%	0.00000%	0.00000%	0.00000%	-8.3793783671	0	8.3793783671
SL1344_4230	yjdB 	SL1344_4230 hypothetical membrane protein 4555676:4557319 reverse MW:61619	61580	0.00000%	0.00000%	0.00333%	0.00000%	0	0	0
SL1344_4231	adiC 	SL1344_4231 Arginine-Agmatine antiporter 4557453:4558790 reverse MW:46933	46902	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4233	adi 	SL1344_4233 arginine decarboxylase 4559989:4562259 reverse MW:84305	84251	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4235	melA 	SL1344_4235 alpha-galactosidase 4563690:4565045 forward MW:50735	50702	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4237	fumB 	SL1344_4237 fumarate hydratase class I 4566657:4568303 reverse MW:60048	60010	0.00000%	0.00000%	0.00000%	0.00000%	0	-7.7944158664	-7.7944158664
SL1344_4238	dcuB 	SL1344_4238 anaerobic C4-dicarboxylate transporter 4568399:4569739 reverse MW:47897	47866	0.00000%	0.00000%	0.00000%	0.00222%	0	0	0
SL1344_4240	dcuR 	SL1344_4240 two-component response regulator 4570469:4571188 reverse MW:27505	27488	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4242	0	SL1344_4242 anaerobic dimethyl sulfoxide reductase chain 4573172:4575601 forward MW:89605	89548	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4243	dmsB 	SL1344_4243 anaerobic dimethyl sulfoxide reductase chain A 4575615:4576241 forward MW:23218	23203	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4245	0	SL1344_4245 conserved hypothetical protein 4577023:4577676 forward MW:24771	24756	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4247	0	SL1344_4247 hypothetical membrane protein 4579464:4580369 forward MW:33874	33852	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4250	rtsB 	SL1344_4250 Regulator of flhDC 4581178:4581465 reverse MW:11033	11026	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4251	rtsA 	SL1344_4251 Regulator of SPI-1 4581462:4582337 reverse MW:33325	33304	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4253	0	SL1344_4253 conserved hypothetical protein 4583140:4583433 forward MW:10977	10971	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4254	0	SL1344_4254 Putative acetyltransferase 4583430:4583921 forward MW:17646	17635	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4255	phoN 	SL1344_4255 nonspecific acid phosphatase precursor 4584169:4584921 reverse MW:28382	28364	0.00000%	0.00000%	0.00000%	0.00000%	-5.4152135988	-3.6492561775	1.7659574212
SL1344_4259	yjdC 	SL1344_4259 hypothetical transcriptional regulator 4587351:4587926 reverse MW:21832	21818	0.00000%	0.00128%	0.05462%	0.01606%	0	0	0
SL1344_4261	cutA 	SL1344_4261 periplasmic divalent cation tolerance protein CutA 4589642:4589989 reverse MW:12680	12672	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4262	dcuA 	SL1344_4262 anaerobic C4-dicarboxylate transporter 4590110:4591294 reverse MW:42027	42000	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4263	aspA 	SL1344_4263 aspartate ammonia-lyase 4591526:4592962 reverse MW:52286	52253	0.00000%	0.00000%	0.00000%	0.00000%	3.9068905956	-8.6902308332	-12.5971214288
SL1344_4264	fxsA 	SL1344_4264 FxsA protein 4593264:4593779 forward MW:19097	19085	0.00000%	0.00015%	0.00000%	0.06196%	0	0	0
SL1344_4266	groES 	SL1344_4266 GroES protein 4595355:4595648 forward MW:10318	10312	0.00000%	0.00000%	0.00000%	0.00000%	-2.1105761486	-4.8717725524	-2.7611964037
SL1344_4267	groEL 	SL1344_4267 GroEL protein 4595692:4597338 forward MW:57286	57250	0.00000%	0.00499%	0.02155%	0.14610%	-9.2141311998	-6.9781599971	2.2359712027
SL1344_4268	yjeI 	SL1344_4268 hypothetical membrane protein 4597564:4597935 forward MW:12690	12682	0.07834%	0.06230%	37.00138%	7.85459%	4.1699250014	-2.3846638502	-6.5545888517
SL1344_4271	efp 	SL1344_4271 elongation factor P 4600191:4600757 forward MW:20623	20610	0.00000%	0.00018%	0.00000%	0.00094%	-8.4008794363	0	8.4008794363
SL1344_4273	ecnB 	SL1344_4273 entericidin B precursor 4601060:4601206 forward MW:4810	4808	0.00000%	0.00000%	0.00338%	0.00000%	3.1699250014	-3.7842713089	-6.9541963104
SL1344_4276	blc 	SL1344_4276 hypothetical lipoprotein 4602415:4602948 reverse MW:19958	19946	0.00000%	0.00009%	0.00000%	0.00124%	0	0	0
SL1344_4277	frdD 	SL1344_4277 fumarate reductase complex subunit D; membrane anchor polypeptide 4603060:4603419 reverse MW:13035	13026	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4278	frdC 	SL1344_4278 fumarate reductase complex subunit C; membrane anchor polypeptide 4603430:4603825 reverse MW:15000	14990	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4279	frdB 	SL1344_4279 fumarate reductase, iron-sulfur protein 4603836:4604570 reverse MW:27175	27157	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_4280	frdA 	SL1344_4280 fumarate reductase, flavoprotein subunit 4604563:4606353 reverse MW:65492	65450	0.00000%	0.00000%	0.00000%	0.00000%	-6.4594316186	-6.4450148459	0.0144167728
SL1344_4281	yjeA 	SL1344_4281 lysyl-tRNA synthetase 4606676:4607653 forward MW:36856	36832	0.00000%	0.00016%	0.01408%	0.01394%	0	-6.4093909361	-6.4093909361
SL1344_4284	yjeP 	SL1344_4284 hypothetical membrane protein 4609814:4613116 reverse MW:122440	122362	0.00000%	0.00000%	0.00000%	0.00085%	0	0	0
SL1344_4285	psd 	SL1344_4285 phosphatidylserine decarboxylase proenzyme 4613159:4614127 reverse MW:35888	35866	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
