Gene	Alias	BRecon Gene function	JCVI Common Name	Primary Common Name	Primary Enzyme Commission #	JCVI 5' End	JCVI 3' End	JCVI  Sequence Length	JCVI  Protein Length	UniProt Accession	GenBank ID	GO Term
STM3354	ttdB	putative tartrate dehydratase beta subunit	fumarase	putative tartrate dehydratase beta subunit	4.2.1.32	3522864	3522247	618	205	Q7CPN2	AAL22223.1	GO:0004333
STM3355	ttdA	putative tartrate dehydratase alpha subunit	fumarase, putative	putative tartrate dehydratase alpha subunit	4.2.1.32	3523763	3522864	900	299	Q7CPN1	AAL22224.1	GO:0004333
STM3356	no	putative tartrate transporter	transporter, sodium/sulfate symporter family, putative	putative cation transporter	No Data	3525136	3523796	1341	446	Q8ZLP9	AAL22225.1	GO:0005215
STM3359	mdh		malate dehydrogenase	malate dehydrogenase	1.1.1.37	3527614	3526676	939	312	P25077	AAL22228.1	No Data
STM3379	accB		acetyl-CoA carboxylase, biotin carboxyl carrier protein	acetylCoA carboxylase, BCCP subunit, carrier of biotin	6.4.1.2	3550095	3550565	471	156	Q7CPM1	AAL22248.1	GO:0003989
STM3380	accC		acetyl-CoA carboxylase, biotin carboxylase	acetyl CoA carboxylase, biotin carboxylase subunit	6.3.4.14	3550576	3551925	1350	449	Q7CPM0	AAL22249.1	GO:0003989
STM3382	panF		pantothenate permease, putative	SSS family, sodium/pantothenate symporter	No Data	3552266	3553717	1452	483	Q8ZLN9	AAL22251.1	GO:0005298
STM3390	acrE		HlyD family secretion protein	transmembrane protein affecting septum formation and cell	No Data	3561230	3562261	1032	343	Q8ZLN5	AAL22259.1	No Data
STM3391	acrF		AcrB/AcrD/AcrF family protein	RND family, multidrug transport protein, acriflavin resistance	No Data	3562330	3565386	3057	1018	Q8ZLN4	AAL22260.1	No Data
STM3401	aroE		shikimate 5-dehydrogenase	dehydroshikimate reductase	1.1.1.25	3574084	3573266	819	272	Q8ZLN1	AAL22264.1	GO:0004764
STM3407	fmt		methionyl-tRNA formyltransferase	10-formyltetrahydrofolate:L-methionyl-tRNA(fMet) N-formyltransferase	2.1.2.9	3577461	3578408	948	315	Q8ZLM6	AAL22270.1	GO:0004479
STM3409	trkA		potassium uptake protein TrkA	Trk system transport of potassium	No Data	3579771	3581147	1377	458	P0A2J9	AAL22272.1	GO:0006813
STM3457	kefB		glutathione-regulated potassium-efflux system protein KefB	CPA2 family, K+:H+ antiporter	No Data	3609016	3607211	1806	601	Q8ZLL3	AAL22320.1	GO:0006813
STM3468	argD		acetylornithine aminotransferase	acetylornithine transaminase (NAcOATase and DapATase)	2.6.1.11	3619628	3618456	1173	390	P40732	AAL22330.1	GO:0003992
STM3469	pabA		para-aminobenzoate synthase glutamine amidotransferase component II	p-aminobenzoate synthetase, component II	4.1.3.	3620322	3619759	564	187	P06193	AAL22331.1	GO:0006760
STM3474	nirB		NAD(P)H-dependent nitrite reductase, large subunit	nitrite reductase, large subunit	1.6.6.-	3623551	3626058	2508	835	Q8ZLK6	AAL22336.1	No Data
STM3475	nirBD		nitrite reductase , fragment-related protein	nitrite reductase, small subunit	1.6.6.-	3626055	3626381	327	108	P0A229	AAL22337.1	No Data
STM3476	nirC		nirC	FNT family, nitrite transport protein	No Data	3626647	3627456	810	269	P25926	AAL22338.1	No Data
STM3477	cysG		siroheme synthase, catalyses four separate reactions that are required for the transformation of uroporphyrinogen III into siroheme	siroheme synthase, catalyses four separate reactions that	4.99.1.-	3627468	3628841	1374	457	P25924	AAL22339.1	No Data
STM3481	trpS		tryptophanyl-tRNA synthetase	tryptophan tRNA synthetase	6.1.1.2	3637251	3636247	1005	334	P0A2P2	AAL22343.1	GO:0004830
STM3482	gph		phosphoglycolate phosphatase, bacterial	phosphoglycolate phosphatase	3.1.3.18	3637867	3637244	624	207	Q8ZLK5	AAL22344.1	GO:0000004
STM3483	rpe		ribulose-phosphate 3-epimerase	D-ribulose-5-phosphate 3-epimerase	5.1.3.1	3638672	3637995	678	225	Q8ZLK4	AAL22345.1	GO:0004750
STM3486	aroB		3-dehydroquinate synthase	dehydroquinate synthase	4.6.1.3	3642059	3641082	978	325	P77980	AAL22348.1	GO:0003856
STM3487	aroK		shikimate kinase	shikimate kinase I	2.7.1.71	3642748	3642227	522	173	P63601	AAL22349.1	No Data
STM3493	mrcA		penicillin-binding protein 1A	transpeptidase of penicillin-binding protein 1a (peptidoglycan synthetase)	No Data	3646653	3649205	2553	850	Q8ZLJ7	AAL22355.1	GO:0003824
STM3500	pckA		phosphoenolpyruvate carboxykinase (ATP)	phosphoenolpyruvate carboxykinase	4.1.1.49	3656566	3658182	1617	538	P41033	AAL22362.1	GO:0004612
STM3506	feoB		ferrous iron transport protein B	FeoB family, ferrous iron transport protein B	No Data	3664136	3666454	2319	772	P74884	AAL22368.1	GO:0015639
STM3512	gntP		GntP family permease	GntP family, high-affinity gluconate permease in GNT	No Data	3670390	3671706	1317	438	Q8ZLI6	AAL22374.1	GO:0015128
STM3513	malQ		4-alpha-glucanotransferase	4-alpha-glucanotransferase (amylomaltase)	2.4.1.25	3673903	3671825	2079	692	Q8ZLI5	AAL22375.1	GO:0004134
STM3514	malP		maltodextrin phosphorylase	maltodextrin phosphorylase	2.4.1.1	3676306	3673913	2394	797	Q8ZLI4	AAL22376.1	GO:0004645
STM3525	glpE		rhodanese family protein, putative	thiosulfate/cyanide sulfurtransferase (rhodanese)	No Data	3688532	3688206	327	108	P64251	AAL22386.1	GO:0009271
STM3526	glpD		aerobic glycerol-3-phosphate dehydrogenase	sn-glycerol-3-phosphate dehydrogenase (aerobic)	1.1.99.5	3688731	3690239	1509	502	Q8ZLH4	AAL22387.1	GO:0004368
STM3529	gldA		glycerol dehydrogenase	putative glycerol dehydrogenase	1.1.99.5	3693603	3692494	1110	369	Q8ZLH1	AAL22390.1	No Data
STM3534	glgP		glycogen phosphorylase	glycogen phosphorylase	2.4.1.1	3701359	3698912	2448	815	Q8ZLG7	AAL22394.1	No Data
STM3535	glgA		glycogen synthase	glycogen synthase	2.4.1.21	3702812	3701379	1434	477	P05416	AAL22395.1	No Data
STM3536	glgC		ADPglucose synthetase	glucose-1-phosphate adenylyltransferase	2.7.7.27	3704107	3702812	1296	431	P05415	AAL22396.1	No Data
STM3537	glgX		glycogen operon protein GlgX	glycosyl hydrolase	3.2.1.-	3706098	3704122	1977	658	Q8ZLG6	AAL22397.1	GO:0005977
STM3538	glgB		1,4-alpha-glucan branching enzyme	1,4-alpha-glucan branching enzyme	2.4.1.18	3708281	3706095	2187	728	Q8ZLG5	AAL22398.1	GO:0003844
STM3539	asd		aspartate semialdehyde dehydrogenase	aspartate-semialdehyde dehydrogenase	1.2.1.11	3709803	3708628	1176	391	P0A1F8	AAL22399.1	No Data
STM3541	gntU		low affinity gluconate permease	low affinity gluconate permease	No Data	3711498	3710158	1341	446	Q8ZLG3	AAL22401.1	No Data
STM3542	gntK		gluconate kinase 2 in GNT I system, thermoresistant	gluconate kinase 2 in GNT I system	2.7.1.12	3711989	3711495	495	164	Q7CPK4	AAL22402.1	No Data
STM3551	ggt		gamma-glutamyltranspeptidase	gamma-glutamyltranspeptidase	2.3.2.2	3722204	3720462	1743	580	Q8ZLF7	AAL22411.1	GO:0003840
STM3553	no		glycerophosphoryl diester phosphodiesterase, putative	glycerophosphodiester phosphodiesterase, cytosolic	3.1.4.46	3723499	3722759	741	246	Q8ZLF5	AAL22413.1	GO:0008889
STM3554	ugpC		sugar ABC transporter, ATP-binding protein	ABC superfamily (atp_bind), sn-glycerol 3-phosphate transport protein	No Data	3724566	3723496	1071	356	Q8ZLF4	AAL22414.1	No Data
STM3555	ugpE		glycerol-3-phosphate ABC transporter, permease protein	ABC superfamily (membrane),sn-glycerol 3-phosphate transport protein	No Data	3725413	3724568	846	281	Q8ZLF3	AAL22415.1	GO:0015430
STM3556	ugpA		glycerol-3-phosphate ABC transporter, permease protein	ABC superfamily (membrane), sn-glycerol 3-phosphate transport protein	No Data	3726360	3725410	951	316	Q8ZLF2	AAL22416.1	GO:0015430
STM3557	ugpB		glycerol-3-phosphate ABC transporter, periplasmic glycerol-3-phosphate-binding protein	ABC superfamily (peri_perm), sn-glycerol 3-phosphate transport protein	No Data	3727581	3726361	1221	406	Q7CPK0	AAL22417.1	GO:0015430
STM3560	livF		branched-chain amino acid ABC transporter, ATP-binding protein	ABC superfamily (atp_bind), branched-chain amino acid transporter	No Data	3729367	3728654	714	237	P0A191	AAL22420.1	No Data
STM3561	livG		branched chain amino acid ABC transporter, ATP-binding protein	ABC superfamily (atp_bind), branched-chain amino acid transporter	No Data	3730136	3729369	768	255	P0A193	AAL22421.1	No Data
STM3562	livG		branched-chain amino acid ABC tranpsorter, ATP binding protein	ABC superfamily (membrane), branched-chain amino acid transporter	No Data	3731410	3730133	1278	425	P30296	AAL22422.1	No Data
STM3563	livH		branched chain amino acid ABC transporter, permease protein	ABC superfamily (membrane), branched-chain amino acid transporter	No Data	3732243	3731407	837	278	P0A2J1	AAL22423.1	No Data
STM3564	livK		LivC precursor	ABC superfamily (bind_prot), branched-chain amino acid transporter	No Data	3733403	3732393	1011	336	P0A1W6	AAL22424.1	No Data
STM3567	livJ		leu/ile/val/thr-binding protein precursor	ABC superfamily (bind_prot), branched-chain amino acid transporter	No Data	3735662	3734502	1161	386	P17215	AAL22427.1	No Data
STM3576	zntA		cation transport ATPase, E1-E2 family	P-type ATPase family, Pb/Cd/Zn/Hg transporting ATPase	3.6.1.-	3742444	3744642	2199	732	Q8ZLE5	AAL22436.1	GO:0006812
STM3583	no		putative Phosphopantetheinyl transferase	putative Phosphopantetheinyl transferase	No Data	3750673	3751251	579	192	Q8ZLE2	AAL22443.1	No Data
STM3589	pitA		phosphate transporter family protein	PiT family, low-affinity phosphate transporter	No Data	3758496	3759992	1497	498	Q7CPJ2	AAL22449.1	GO:0006817
STM3597	gor		glutathione reductase	glutathione oxidoreductase	1.6.4.2	3768593	3769945	1353	450	Q8ZLD4	AAL22457.1	GO:0004362
STM3598	yhiS		L-asparaginase, putative	putative L-asparaginase	1.6.4.2	3771035	3769992	1044	347	Q8ZLD3	AAL22458.1	No Data
STM3599	yhiT	putative inner membrane protein; possible C4-dicarboxylic transproter	C4-dicarboxylate transporter, anaerobic	putative inner membrane protein	No Data	3772413	3771094	1320	439	Q8ZLD2	AAL22459.1	GO:0015556
STM3603	treF		Trehalase	cytoplasmic trehalase	3.2.1.28	3775700	3777223	1524	507	Q8ZLC8	AAL22463.1	No Data
STM3612	kdgK		2-dehydro-3-deoxygluconokinase	ketodeoxygluconokinase	2.7.1.45	3787580	3788509	930	309	Q8ZLC0	AAL22472.1	No Data
STM3614	dctA		aerobic c4-dicarboxylate transport protein. {salmonella	DAACS family, C4-dicarboxylic acids transport protein	No Data	3791457	3790270	1188	395	P50334	AAL22474.1	No Data
STM3624A	mdeA	cystathionine gamma-synthase	methionine-gamma-lyase	cystathionine gamma-synthase	No Data	3808673	3808813	141	46	No Data	AAL22485.1	No Data
STM3626	dppF		oligopeptide ABC transporter, ATP-binding protein	ABC superfamily (atp_bind), dipeptide transport protein	No Data	3811343	3810330	1014	337	Q8ZLB2	AAL22487.1	No Data
STM3627	dppD		oligopeptide ABC transporter, ATP-binding protein	ABC superfamily (atp_bind), dipeptide transport protein	No Data	3812323	3811340	984	327	Q8ZLB1	AAL22488.1	No Data
STM3628	dppC		dipeptide ABC transporter, permease protein	ABC superfamily (membrane), dipeptide transport protein 2	No Data	3813236	3812334	903	300	Q8ZLB0	AAL22489.1	GO:0015197
STM3629	dppB		dipeptide ABC transporter, permease protein	ABC superfamily (membrane), dipeptide transport protein 1	No Data	3814265	3813246	1020	339	Q7CPI6	AAL22490.1	No Data
STM3630	dppA		heme-binding lipoprotein	ABC superfamily (peri_perm), dipeptide transport protein	No Data	3816029	3814422	1608	535	Q8ZLA9	AAL22491.1	GO:0015197
STM3635	no		protein in lpfe-tag intergenic region , fragment	putative membrane-associated, metal-dependent hydrolase	No Data	3822324	3820576	1749	582	P43666	AAL22495.1	No Data
STM3644	bisC		biotin sulfoxide reductase (2nd module)	biotin sulfoxide reductase	1.-.-.-	3832515	3830320	2196	731	Q8ZLA2	AAL22504.1	No Data
STM3646	yiaE		D-isomer specific 2-hydroxyacid dehydrogenase family protein	2-keto-D-gluconate reductase	No Data	3833729	3834661	933	310	Q8ZLA1	AAL22506.1	No Data
STM3655	glyS		glycyl-tRNA synthetase, beta subunit	glycine tRNA synthetase, beta subunit	6.1.1.14	3841839	3839770	2070	689	Q8ZL96	AAL22514.1	GO:0004820
STM3656	glyQ		glycyl-tRNA synthetase, alpha subunit	glycine tRNA synthetase, alpha subunit	6.1.1.14	3842760	3841849	912	303	Q8ZL95	AAL22515.1	GO:0004820
STM3660	xylB		xylulokinase	xylulokinase	2.7.1.17	3846367	3844913	1455	484	Q8ZL91	AAL22519.1	GO:0004856
STM3661	xylA		xylose isomerase	D-xylose isomerase	5.3.1.5	3847789	3846467	1323	440	Q8ZL90	AAL22520.1	GO:0006098
STM3664	malS		alpha-amylase	alpha-amylase	3.2.1.1	3850531	3852558	2028	675	Q8ZL87	AAL22523.1	GO:0004556
STM3665	avtA		valine-pyruvate aminotransferase	valine-pyruvate aminotransferase	2.6.1.66	3852666	3853982	1317	438	Q8ZL86	AAL22524.1	GO:0006523
STM3668	yiaK		malate dehydrogenase, putative	putative malate dehydrogenase	1.1.1.37	3855639	3856637	999	332	Q8ZL83	AAL22527.1	No Data
STM3671	no		C4-dicarboxylate transport system, putative	putative transporter	No Data	3858208	3858681	474	157	Q7CPI2	AAL22530.1	No Data
STM3672	no		DedA family protein	putative DedA family, membrane protein	No Data	3858684	3859961	1278	425	Q8ZL80	AAL22531.1	No Data
STM3673	no		TRAP dicarboxylate transporter, DctP subunit family, putative	putative dicarboxylate-binding periplasmic protein	No Data	3859973	3860959	987	328	Q8ZL79	AAL22532.1	GO:0005488
STM3674	lyxK		sugar kinase, FGGY family, putative	L-xylulose kinase, cryptic	2.7.1.53	3860963	3862459	1497	498	Q8ZL78	AAL22533.1	No Data
STM3675	no		hexulose-6-phosphate synthase SgbH, putative	putative 3-hexulose-6-phosphate isomerase	4.1.2.-	3862456	3863118	663	220	Q8ZL77	AAL22534.1	GO:0005975
STM3677	sgbE		sugar isomerase SgaE, AraD/FucA family	L-ribulose-5-phosphate 4-epimerase	5.1.3.4	3863965	3864660	696	231	Q8ZL75	AAL22536.1	GO:0005975
STM3680	aldB		aldehyde dehydrogenase B	aldehyde dehydrogenase B (lactaldehyde dehydrogenase)	1.2.1.22	3869511	3867973	1539	512	Q8ZL72	AAL22539.1	GO:0004029
STM3683	selA		L-seryl-tRNA selenium transferase	selenocysteine synthase (with SelD)	2.9.1.1	3874084	3872693	1392	463	Q8ZL69	AAL22542.1	GO:0004125
STM3685	mtlA		PTS system component	PTS family, mannitol-specific enzyme IIABC components	2.7.1.69	3875267	3877183	1917	638	Q7CPI1	AAL22544.1	No Data
STM3686	mtlD		mannitol-1-phosphate 5-dehydrogenase	mannitol-1-phosphate dehydrogenase	1.1.1.17	3877389	3878552	1164	387	Q8ZL67	AAL22545.1	GO:0005975
STM3692	lldP		L-lactate permease	LctP transporter, L-lactate permease	No Data	3885912	3887567	1656	551	Q8ZL63	AAL22551.1	No Data
STM3694	lldD		L-lactate dehydrogenase	L-lactate dehydrogenase	1.1.2.3	3888337	3889527	1191	396	Q8ZL61	AAL22553.1	GO:0004460
STM3697	talrD/GalrD	putative mandelate racemase / muconate lactonizing enzyme family; L-talarate/galactarate dehydratase	muconate cycloisomerase II, putative	putative mandelate racemase / muconate lactonizing enzyme	No Data	3891455	3892651	1197	398	Q8ZL58	AAL22556.1	No Data
STM3699	cysE		serine acetyltransferase	serine acetyltransferase	2.3.1.30	3894939	3894118	822	273	P29847	AAL22558.1	No Data
STM3700	gpsA		glycerol-3-phosphate dehydrogenase (nad+) , fragment	glycerol-3-phosphate dehydrogenase (NAD+)	1.1.1.94	3896036	3895017	1020	339	P0A1P2	AAL22559.1	No Data
STM3702	grxC		glutaredoxin 3	glutaredoxin 3	No Data	3896798	3896547	252	83	Q7CPH7	AAL22561.1	GO:0030508
STM3704	gpmA		phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent	phosphoglyceromutase	5.4.2.1	3897564	3899108	1545	514	Q8ZL56	AAL22563.1	GO:0004619
STM3708	tdh		L-threonine 3-dehydrogenase	threonine 3-dehydrogenase	1.1.1.103	3903907	3902882	1026	341	Q8ZL52	AAL22567.1	GO:0006567
STM3709	kbL		2-amino-3-ketobutyrate CoA ligase	2-amino-3-ketobutyrate CoA ligase (glycine acetyltransferase)	2.3.1.29	3905113	3903917	1197	398	P37419	AAL22568.1	GO:0006567
STM3710	rfaD		ADP-L-glycero-D-mannoheptose-6-epimerase	ADP-L-glycero-D-mannoheptose-6-epimerase	5.1.3.20	3905316	3906248	933	310	P67912	AAL22569.1	GO:0008712
STM3711	rfaF		adp-heptose--lps heptosyltransferase ii	ADP-heptose LPS heptosyltransferase 1	No Data	3906419	3907297	879	292	P37421	AAL22570.1	No Data
STM3712	rfaC		lipopolysaccharide heptosyltransferase-1	heptosyl transferase I	No Data	3907297	3908250	954	317	P26469	AAL22571.1	No Data
STM3713	rfaL		o-antigen ligase. {salmonella	O-antigen ligase	No Data	3908290	3909504	1215	404	P26471	AAL22572.1	No Data
STM3714	rfaK		lipopolysaccharide 1,2-n-acetylglucosaminetransferase	putative hexose transferase, lipopolysaccharide core biosynthesis	2.4.1.56	3910706	3909561	1146	381	P26470	AAL22573.1	No Data
STM3715	rfaZ		lipopolysaccharide core biosynthesis protein rfaz. {salmonella	lipopolysaccharide core biosynthesis	No Data	3911616	3910807	810	269	P26473	AAL22574.1	No Data
STM3716	rfaY		lipopolysaccharide core biosynthesis protein rfay. {salmonella	lipopolysaccharide core biosynthesis modification of heptose region	No Data	3912464	3911766	699	232	P26472	AAL22575.1	No Data
STM3717	rfaJ		lipopolysaccharide 1,2-glucosyltransferase	UDP-D-glucose:(galactosyl)lipopolysaccharide glucosyltransferase	2.4.1.58	3913497	3912487	1011	336	P19817	AAL22576.1	No Data
STM3718	rfaI		lipopolysaccharide 1,3-galactosyltransferase	UDP-D-galactose:(glucosyl)lipopolysaccharide-alpha-1,3-D-galactosyltransferase	2.4.1.44	3914537	3913515	1023	340	P19816	AAL22577.1	No Data
STM3719	rfaB		lipopolysaccharide 1,6-galactosyltransferase	UDP-D-galactose:(glucosyl)lipopolysaccharide-1,6-D-galactosyltransferase	2.4.1.	3915613	3914534	1080	359	Q06994	AAL22578.1	No Data
STM3720	no		putative inner membrane protein	putative inner membrane protein	No Data	3915916	3915683	234	77	P40824	AAL22579.1	No Data
STM3721	rfaP		RfaP	lipopolysaccharide core biosynthesis phosphorylation of core heptose	No Data	3916745	3915948	798	265	Q06995	AAL22580.1	No Data
STM3722	rfaG		glucosyltransferase I	glucosyltransferase I	No Data	3917862	3916738	1125	374	O68269	AAL22581.1	No Data
STM3723	no		lipopolysaccharide biosynthesis protein, putative	lipopolysaccharide core biosynthesis modification of heptose region	No Data	3918929	3917859	1071	356	O68270	AAL22582.1	GO:0008920
STM3724	kdtA		3-deoxy-D-manno-octulosonic-acid transferase	3-deoxy-D-manno-octulosonic-acid transferase (KDO transferase)	2.-.-.-	3919338	3920615	1278	425	Q8ZL49	AAL22583.1	GO:0009244
STM3725	coaD		pantetheine-phosphate adenylyltransferase	phosphopantetheine adenylyltransferase	2.7.7.3	3920612	3921103	492	163	Q8ZL48	AAL22584.1	GO:0004595
STM3730	dfp		phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase	flavoprotein affecting synthesis of DNA and pantothenate	No Data	3923521	3924741	1221	406	Q8ZL47	AAL22589.1	GO:0004632
STM3731	dutec		deoxyuridine 5`-triphosphate nucleotidohydrolase	deoxyuridinetriphosphatase	3.6.1.23	3924719	3925177	459	152	P64008	AAL22590.1	No Data
STM3733	pyrE		orotate phosphoribosyltransferase	orotate phosphoribosyltransferase	2.4.2.10	3926600	3925959	642	213	P08870	AAL22592.1	GO:0004588
STM3740	gmk		guanylate kinase	guanylate kinase	2.7.4.8	3933011	3933721	711	236	Q9X6M5	AAL22599.1	GO:0004385
STM3742	spoT		bifunctional : (p)ppGpp synthetase II; also guanosine-3,5-bis pyrophosphate 3-pyrophosphohydrolase	bifunctional : (p)ppGpp synthetase II also guanosine-3,5-bis	3.1.7.2	3934070	3936181	2112	703	Q8ZL41	AAL22601.1	No Data
STM3746	gltS		sodium/glutamate symporter	GltS family, glutamate transport protein	No Data	3941024	3939819	1206	401	Q8ZL37	AAL22605.1	GO:0015501
STM3747	yicE		xanthine/uracil permease family protein	putative NCS2 family, purine/xanthine transport protein	No Data	3941252	3942643	1392	463	Q7CPH2	AAL22606.1	GO:0015211
STM3763	mgtB	Mg2+ transport protein	magnesium-translocating P-type ATPase	Mg2+ transport protein	3.6.1.-	3964268	3961542	2727	908	P22036	AAL22621.1	No Data
STM3787	uhpT		hexosephosphate transport protein	MFS family, hexose phosphate transport protein	No Data	3987571	3986180	1392	463	P27670	AAL22645.1	No Data
STM3792	deoP	deoxyribose permease	L-fucose permease	putative L-fucose permease	No Data	3993560	3992244	1317	438	Q7CPF6	AAL22650.1	GO:0015150
STM3793	deoK	deoxyribokinase	ribokinase	putative sugar kinase, ribokinase family	2.7.1.15	3994511	3993591	921	306	Q7CPF5	AAL22651.1	GO:0004747
STM3795	ilvH		acetolactate synthase III, small subunit	acetolactate synthase I, small subunit	4.1.3.-	3995913	3995623	291	96	Q7CPF3	AAL22653.1	GO:0003984
STM3796	ilvB		acetolactate synthase, large subunit, biosynthetic type	acetolactate synthase I, large subunit, valine sensitive	4.1.3.-	3997605	3995917	1689	562	Q8ZL15	AAL22654.1	GO:0003984
STM3802	dsdA		D-serine dehydratase	D-serine deaminase (dehydratase)	4.2.1.14	4004453	4005775	1323	440	Q8ZL08	AAL22662.1	GO:0006520
STM3822	torA		trimethylamine-N-oxide reductase	trimethylamine N-oxide reductase subunit	1.6.6.9	4023363	4020811	2553	850	Q8ZKZ7	AAL22681.1	GO:0009033
STM3823	torC		cytochrome c-type protein TorC	trimethylamine N-oxide reductase, cytochrome c-type subunit, also	No Data	4024537	4023353	1185	394	Q8ZKZ6	AAL22682.1	GO:0005489
STM3827	dgoT		major facilitator family transporter, putative	MFS family, D-galactonate transport protein	No Data	4030532	4029213	1320	439	Q8ZKZ2	AAL22686.1	No Data
STM3828	dgoD		mandelate racemase/muconate lactonizing enzyme family, putative	galactonate dehydratase in bifunctional: 2-oxo-3-deoxygalactonate 6-phosphate aldolase	4.2.1.6	4031783	4030635	1149	382	Q8ZKZ1	AAL22687.1	No Data
STM3829	dgoK		2-oxo-3-deoxygalactonate kinase	2-oxo-3-deoxygalactonate kinase	2.7.1.58	4033258	4032380	879	292	Q8ZKZ0	AAL22688.1	No Data
STM3854	pstB-1		phosphate ABC transporter, ATP-binding protein	ABC superfamily (atp_bind), high-affinity phosphate transporter	No Data	4061513	4060740	774	257	P63365	AAL22712.1	GO:0006817
STM3855	pstA		phosphate ABC transporter, permease protein	ABC superfamily (membrane), high-affinity phosphate transporter	No Data	4062490	4061600	891	296	Q8ZKX6	AAL22713.1	GO:0006817
STM3856	pstC		phosphate ABC transporter, permease protein	ABC superfamily (membrane), high-affinity phosphate transporter	No Data	4063449	4062490	960	319	Q7CPE6	AAL22714.1	No Data
STM3857	pstS		phosphate ABC transporter, periplasmic-binding protein	ABC superfamily (bind_prot), high-affinity phosphate transporter	No Data	4064625	4063585	1041	346	Q8ZKX5	AAL22715.1	No Data
STM3859	no		shikimate 5-dehydrogenase, putative	putative shikimate / quinate 5-dehydrogenase	1.1.1.25	4067032	4066214	819	272	Q8ZKX3	AAL22717.1	No Data
STM3861	glmS		glucosamine--fructose-6-phosphate aminotransferase, isomerizing	L-glutamine:D-fructose-6-phosphate aminotransferase	2.6.1.16	4070864	4069035	1830	609	Q8ZKX1	AAL22719.1	GO:0004360
STM3862	glmUec		UDP-N-acetylglucosamine pyrophosphorylase	N-acetyl glucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyl transferase	2.7.7.23	4072399	4071053	1347	448	Q8ZKX0	AAL22720.1	GO:0003977
STM3864	atpC		ATP synthase F1, epsilon subunit	membrane-bound ATP synthase, F1 sector, epsilon-subunit	3.6.1.341	4074090	4073671	420	139	P0A1B7	AAL22722.1	GO:0015986
STM3865	atpD		ATP synthase F1, beta subunit	membrane-bound ATP synthase, F1 sector, beta-subunit	3.6.1.341	4075493	4074111	1383	460	Q7CPE2	AAL22723.1	GO:0015986
STM3866	atpG		ATP synthase F1, gamma subunit	membrane-bound ATP synthase, F1 sector, gamma-subunit	3.6.1.341	4076383	4075520	864	287	Q8ZKW8	AAL22724.1	GO:0015986
STM3867	atpA		ATP synthase F1, alpha subunit	membrane-bound ATP synthase, F1 sector, alpha-subunit	3.6.1.341	4077975	4076434	1542	513	Q7CPE1	AAL22725.1	GO:0015986
STM3868	atpH		ATP synthase F1, delta subunit	membrane-bound ATP synthase, F1 sector, delta-subunit	3.6.1.341	4078521	4077988	534	177	Q7CPE5	AAL22726.1	GO:0015986
STM3869	atpF		ATP synthase F0, B subunit	membrane-bound ATP synthase, F0 sector, subunit b	3.6.1.340	4079006	4078536	471	156	Q7CPE4	AAL22727.1	GO:0015986
STM3870	atpE		ATP synthase F0, C subunit	membrane-bound ATP synthase, F0 sector, subunit c	3.6.1.340	4079305	4079066	240	79	P68704	AAL22728.1	GO:0000276
STM3871	atpB		ATP synthase F0, A subunit	membrane-bound ATP synthase, F0 sector, subunit a	3.6.1.340	4080167	4079352	816	271	Q7CPE3	AAL22729.1	GO:0000276
STM3872	atpI		membrane-bound ATP synthase subunit, F1-F0-type proton-ATPase	membrane-bound ATP synthase subunit, F1-F0-type proton-ATPase	No Data	4080556	4080176	381	126	Q8ZKW7	AAL22730.1	No Data
STM3877	asnA		aspartate--ammonia ligase	asparagine synthetase A	6.3.1.1	4085308	4086300	993	330	Q8ZKW4	AAL22735.1	GO:0004071
STM3880	kup		potassium uptake protein	KUP family, potassium transport system, low affinity	No Data	4089594	4091462	1869	622	Q8ZKW1	AAL22738.1	GO:0006813
STM3881	rbsD		ribose ABC transporter protein	D-ribose high-affinity transport system membrane-associated protein	No Data	4091659	4092078	420	139	Q8ZKW0	AAL22739.1	GO:0015611
STM3882	rbsA		ribose ABC transporter, ATP-binding protein	ABC superfamily (atp_bind), D-ribose high-affinity transport protein	No Data	4092041	4093591	1551	516	Q8ZKV9	AAL22740.1	GO:0015611
STM3883	rbsC		ribose ABC transporter, permease protein	ABC superfamily (membrane), D-ribose high-affinity transport protein	No Data	4093597	4094562	966	321	Q7CPD9	AAL22741.1	GO:0015611
STM3884	rbsB		d-ribose-binding periplasmic protein precursor	ABC superfamily (peri_perm), D-ribose transport protein	No Data	4094593	4095477	885	294	P0A2C5	AAL22742.1	No Data
STM3885	rbsK		ribokinase	ribokinase	2.7.1.15	4095611	4096540	930	309	Q8ZKV8	AAL22743.1	GO:0004747
STM3901	ilvB		acetolactate synthase, large subunit, biosynthetic type	acetolactate synthase II, large subunit, fragment 1	4.1.3.18	4109054	4110619	1566	521	Q9L6T2	AAL22751.1	GO:0003984
STM3902	no		acetolactate synthase II, small subunit, putative	acetolactate synthase II, small subunit	4.1.3.-	4110616	4110879	264	87	Q7CPD7	AAL22752.1	GO:0003984
STM3903	ilvE		branched-chain amino acid aminotransferase	branched-chain amino-acid aminotransferase	2.6.1.42	4110897	4111826	930	309	P0A1A5	AAL22753.1	GO:0004084
STM3904	ilvD		dihydroxy-acid dehydratase	dihydroxyacid dehydratase	4.2.1.9	4111987	4113837	1851	616	P40810	AAL22754.1	GO:0004160
